iter	Passed	Remaining
0	1	133
1	2	121
2	3	113
3	4	106
4	5	107
5	6	105
6	7	105
7	9	104
8	10	106
9	11	104
10	12	102
11	13	101
12	15	102
13	16	100
14	17	98
15	18	99
16	20	98
17	21	96
18	22	96
19	23	95
20	24	94
21	26	93
22	27	91
23	28	90
24	29	89
25	30	87
26	32	86
27	33	85
28	34	85
29	36	84
30	37	83
31	38	82
32	40	81
33	41	80
34	42	79
35	43	77
36	45	76
37	46	76
38	47	75
39	49	73
40	50	72
41	51	70
42	52	69
43	53	68
44	54	67
45	56	65
46	57	64
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	65	57
53	66	56
54	67	55
55	68	54
56	70	52
57	71	51
58	72	50
59	73	48
60	75	47
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	38
69	86	37
70	87	35
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	96	28
77	96	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	113	9
92	114	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
