iter	Passed	Remaining
0	137	137133
1	139	69535
2	140	46838
3	142	35445
4	143	28622
5	145	24126
6	147	20939
7	149	18515
8	150	16602
9	152	15072
10	153	13800
11	154	12751
12	156	11864
13	157	11102
14	159	10455
15	160	9885
16	162	9381
17	164	8950
18	165	8540
19	166	8167
20	168	7833
21	169	7539
22	171	7265
23	172	7022
24	174	6791
25	175	6580
26	176	6377
27	178	6192
28	179	6020
29	181	5858
30	182	5711
31	184	5568
32	185	5438
33	187	5317
34	188	5208
35	190	5100
36	192	5000
37	193	4902
38	195	4813
39	196	4722
40	198	4634
41	199	4555
42	201	4482
43	203	4419
44	204	4345
45	206	4275
46	207	4214
47	209	4152
48	210	4092
49	212	4035
50	214	3984
51	215	3934
52	217	3885
53	218	3836
54	220	3790
55	221	3741
56	223	3696
57	225	3654
58	226	3611
59	228	3572
60	229	3533
61	230	3494
62	232	3461
63	234	3428
64	235	3394
65	237	3359
66	238	3325
67	240	3295
68	242	3268
69	243	3240
70	245	3211
71	246	3183
72	248	3157
73	250	3131
74	251	3104
75	253	3077
76	254	3052
77	256	3035
78	258	3013
79	260	2992
80	261	2969
81	263	2946
82	264	2917
83	265	2898
84	267	2878
85	269	2859
86	270	2841
87	272	2825
88	274	2806
89	275	2789
90	277	2774
91	279	2757
92	281	2740
93	282	2725
94	284	2710
95	286	2693
96	287	2677
97	289	2666
98	291	2651
99	293	2640
100	295	2626
101	296	2612
102	298	2597
103	299	2582
104	301	2570
105	303	2558
106	305	2546
107	306	2533
108	308	2521
109	310	2508
110	311	2497
111	313	2484
112	314	2471
113	316	2460
114	318	2451
115	320	2441
116	321	2427
117	323	2415
118	325	2406
119	326	2396
120	328	2384
121	329	2372
122	331	2366
123	333	2355
124	335	2348
125	337	2337
126	338	2326
127	340	2316
128	341	2305
129	342	2294
130	344	2286
131	346	2278
132	347	2267
133	349	2257
134	350	2248
135	352	2237
136	353	2227
137	354	2216
138	356	2207
139	358	2199
140	359	2192
141	361	2182
142	363	2176
143	365	2170
144	366	2162
145	368	2152
146	369	2144
147	371	2137
148	372	2130
149	374	2122
150	376	2115
151	377	2107
152	379	2099
153	380	2090
154	381	2081
155	383	2074
156	384	2066
157	386	2058
158	387	2052
159	389	2046
160	390	2037
161	392	2030
162	393	2023
163	395	2015
164	397	2009
165	398	2001
166	399	1994
167	401	1986
168	402	1981
169	404	1975
170	405	1968
171	407	1961
172	409	1956
173	410	1950
174	412	1943
175	413	1936
176	415	1929
177	416	1923
178	418	1918
179	419	1912
180	421	1906
181	422	1900
182	424	1893
183	425	1886
184	426	1879
185	428	1873
186	429	1868
187	431	1862
188	432	1857
189	434	1852
190	436	1847
191	437	1841
192	438	1835
193	440	1829
194	441	1823
195	443	1818
196	444	1813
197	446	1808
198	448	1803
199	449	1798
200	451	1793
201	452	1787
202	453	1782
203	455	1778
204	457	1772
205	458	1766
206	459	1761
207	461	1757
208	463	1752
209	464	1748
210	466	1743
211	467	1739
212	469	1734
213	470	1729
214	472	1724
215	473	1720
216	475	1716
217	477	1712
218	478	1707
219	480	1703
220	481	1697
221	482	1692
222	484	1688
223	485	1682
224	487	1678
225	488	1673
226	490	1670
227	492	1666
228	493	1661
229	495	1657
230	496	1652
231	497	1647
232	498	1642
233	500	1637
234	501	1632
235	502	1627
236	504	1625
237	506	1621
238	507	1616
239	509	1612
240	510	1607
241	511	1603
242	513	1598
243	514	1594
244	515	1589
245	517	1585
246	518	1581
247	520	1577
248	521	1574
249	523	1569
250	524	1565
251	525	1561
252	527	1556
253	528	1552
254	529	1548
255	531	1543
256	532	1540
257	534	1536
258	535	1533
259	537	1528
260	538	1524
261	539	1520
262	540	1516
263	542	1511
264	543	1507
265	544	1503
266	546	1499
267	547	1496
268	549	1492
269	550	1489
270	552	1485
271	554	1483
272	555	1480
273	557	1477
274	559	1473
275	560	1470
276	562	1467
277	563	1463
278	565	1460
279	566	1456
280	568	1453
281	569	1449
282	570	1446
283	572	1442
284	573	1438
285	575	1435
286	576	1432
287	578	1430
288	580	1427
289	581	1424
290	583	1420
291	584	1417
292	585	1413
293	587	1409
294	588	1406
295	589	1403
296	591	1400
297	593	1397
298	594	1393
299	596	1390
300	597	1387
301	599	1384
302	600	1381
303	602	1378
304	603	1375
305	605	1372
306	606	1370
307	608	1366
308	609	1364
309	611	1360
310	612	1357
311	614	1354
312	615	1351
313	617	1348
314	618	1345
315	620	1343
316	622	1340
317	623	1337
318	624	1334
319	626	1330
320	627	1327
321	629	1324
322	630	1321
323	632	1318
324	633	1315
325	634	1312
326	636	1310
327	638	1307
328	639	1304
329	641	1301
330	642	1298
331	644	1295
332	645	1293
333	647	1290
334	648	1287
335	650	1285
336	651	1282
337	653	1279
338	654	1276
339	656	1273
340	657	1270
341	659	1268
342	660	1265
343	662	1262
344	663	1259
345	665	1257
346	666	1254
347	668	1251
348	669	1248
349	670	1245
350	672	1242
351	673	1240
352	675	1237
353	676	1235
354	678	1232
355	679	1229
356	681	1227
357	683	1225
358	684	1222
359	686	1220
360	687	1217
361	689	1214
362	690	1211
363	691	1209
364	693	1206
365	695	1204
366	696	1201
367	698	1199
368	699	1196
369	701	1194
370	702	1191
371	704	1189
372	705	1186
373	707	1184
374	709	1181
375	710	1179
376	711	1176
377	713	1173
378	714	1171
379	716	1168
380	717	1165
381	719	1163
382	720	1160
383	722	1158
384	723	1156
385	725	1154
386	727	1151
387	728	1149
388	730	1146
389	731	1144
390	733	1142
391	734	1139
392	736	1137
393	737	1135
394	739	1132
395	741	1130
396	742	1128
397	744	1125
398	745	1123
399	747	1120
400	748	1118
401	750	1116
402	752	1114
403	753	1112
404	755	1109
405	756	1107
406	758	1104
407	759	1102
408	761	1099
409	762	1097
410	764	1095
411	766	1093
412	767	1090
413	769	1088
414	770	1086
415	772	1084
416	774	1082
417	775	1079
418	777	1077
419	778	1075
420	779	1072
421	781	1070
422	783	1068
423	785	1066
424	786	1064
425	788	1061
426	789	1060
427	791	1057
428	793	1055
